Fam1EN;CostTypeEN;BookingEN;ActivityKey;combined_text;Transaction_Index;Cat1_Match;Cat2_Match;DescriptionCat2_Match;Similarity_Score
other personnel expenses;Travel expenses;zürich berlin visit Oberbuchsiten information team;Train (Staff);Travel expenses zürich berlin visit Oberbuchsiten information team;0;passenger transport;accommodation / event;activities associated with travel, such as hotel accommodation and attendance at ticketed events. ;0.44962191581726074
property insurance, fees, levies;Fees and charges (not for vehicles);zuordbar costs fees customs;Financial services;Fees and charges (not for vehicles) zuordbar costs fees customs;1;purchase of goods;motor vehicles and other transport equipment;acquisition of motor vehicles and transport equipment. this includes cars, lorries and vans, as well as specific equipment such as trailers, motorbikes and vans. these purchases are intended to ensure the mobility of people and the transport of goods, both for professional and personal use.;0.5055505037307739
maintenance, repairs, replacements;Maintenance subscription (without computer);zumtobel maintenance subscription;Technical maintenance;Maintenance subscription (without computer) zumtobel maintenance subscription;2;purchases of services;it maintenance and services;it maintenance, support and development. this covers the maintenance and repair of systems, the development of tailor-made it solutions, and the implementation and management of cloud solutions. these services are essential for ensuring operational continuity, developing appropriate technological solutions and maintaining secure, high-performance infrastructures.;0.5564512610435486
external services;DZ - electric material;zumtobel elektrom document licht container;Electrical equipments;DZ - electric material zumtobel elektrom document licht container;3;purchase of materials;metals and metal products;raw or processed metals for various uses. this includes metals such as steel, tinplate, aluminium, copper, nickel, lead and zinc. these materials are used in construction, the manufacture of industrial products and household appliances.;0.45834237337112427
it expenses;Consumables computer (Hardware);zumstein vision;IT equipments;Consumables computer (Hardware) zumstein vision;4;purchase of goods;it and electronic equipment;various digital and electronic devices, such as computers, servers, smartphones and tablets, as well as peripherals such as printers, photocopiers and screens. it also covers audiovisual equipment such as televisions, sound bars, speakers and video projectors, as well as network devices such as modems, routers and firewalls. this equipment is essential for data processing, storage and communication, as well as for entertainment and connectivity.;0.4939807057380676
it expenses;Maintenance subscriptions EDP;zuhausebern;IT maintenance;Maintenance subscriptions EDP zuhausebern;5;purchases of services;it maintenance and services;it maintenance, support and development. this covers the maintenance and repair of systems, the development of tailor-made it solutions, and the implementation and management of cloud solutions. these services are essential for ensuring operational continuity, developing appropriate technological solutions and maintaining secure, high-performance infrastructures.;0.59685218334198
other personnel expenses;Travel expenses;zug input jenni manual sbb;Train (Staff);Travel expenses zug input jenni manual sbb;6;purchases of services;vehicle rental;temporary provision of motorised vehicles, such as cars, vans, lorries or motorbikes. this allows us to meet specific mobility needs, whether for business trips, removals or one-off assignments.;0.39133939146995544
other personnel expenses;Travel expenses;zug input amstad manual sbb;Train (Staff);Travel expenses zug input amstad manual sbb;7;passenger transport;road;passenger travel on the road network, including buses, shuttles, intercity coaches, taxis, car sharing, private and company cars, as well as scooters and motorbikes.;0.41687464714050293
other personnel expenses;Travel expenses;zug be input köln manual sbb;Train (Staff);Travel expenses zug be input köln manual sbb;8;passenger transport;river / sea transport;passenger transport by inland waterway, including cruise ships, ferries, river shuttles and tourist boats.;0.44502973556518555
marketing;Media partnerships;zuerich energy;Marketing services;Media partnerships zuerich energy;9;purchases of services;information and cultural services;access to cultural and economic resources. this includes newspaper subscriptions, access to events, content platforms, as well as paid professional information for businesses.;0.5660645961761475
marketing;Media partnerships;zrz handling fee;Marketing services;Media partnerships zrz handling fee;10;purchases of services;information and cultural services;access to cultural and economic resources. this includes newspaper subscriptions, access to events, content platforms, as well as paid professional information for businesses.;0.5246338844299316
marketing;Media partnerships;zrz handling fee;Marketing services;Media partnerships zrz handling fee;11;purchases of services;information and cultural services;access to cultural and economic resources. this includes newspaper subscriptions, access to events, content platforms, as well as paid professional information for businesses.;0.5246338844299316
marketing;Marketing Vs Business;zrz counter-invoices;Marketing services;Marketing Vs Business zrz counter-invoices;12;purchases of services;marketing / advertising services;services to promote products, brands or companies. this includes activities such as creating advertising campaigns, managing social networks, market research and marketing strategy. these services aim to increase visibility, attract customers and improve brand image with the target audience.;0.450763076543808
marketing;Marketing Vs Business;zrz counter-invoices;Marketing services;Marketing Vs Business zrz counter-invoices;13;purchases of services;marketing / advertising services;services to promote products, brands or companies. this includes activities such as creating advertising campaigns, managing social networks, market research and marketing strategy. these services aim to increase visibility, attract customers and improve brand image with the target audience.;0.450763076543808
marketing;Marketing Vs Business;zrz;Marketing services;Marketing Vs Business zrz;14;purchases of services;marketing / advertising services;services to promote products, brands or companies. this includes activities such as creating advertising campaigns, managing social networks, market research and marketing strategy. these services aim to increase visibility, attract customers and improve brand image with the target audience.;0.5576094388961792
marketing;Marketing Vs Business;zrz;Marketing services;Marketing Vs Business zrz;15;purchases of services;marketing / advertising services;services to promote products, brands or companies. this includes activities such as creating advertising campaigns, managing social networks, market research and marketing strategy. these services aim to increase visibility, attract customers and improve brand image with the target audience.;0.5576094388961792
marketing;Marketing Vs Business;zrz;Marketing services;Marketing Vs Business zrz;16;purchases of services;marketing / advertising services;services to promote products, brands or companies. this includes activities such as creating advertising campaigns, managing social networks, market research and marketing strategy. these services aim to increase visibility, attract customers and improve brand image with the target audience.;0.5576094388961792
marketing;Marketing Vs Business;zrz;Marketing services;Marketing Vs Business zrz;17;purchases of services;marketing / advertising services;services to promote products, brands or companies. this includes activities such as creating advertising campaigns, managing social networks, market research and marketing strategy. these services aim to increase visibility, attract customers and improve brand image with the target audience.;0.5576094388961792
marketing;Marketing Vs Business;zrz;Marketing services;Marketing Vs Business zrz;18;purchases of services;marketing / advertising services;services to promote products, brands or companies. this includes activities such as creating advertising campaigns, managing social networks, market research and marketing strategy. these services aim to increase visibility, attract customers and improve brand image with the target audience.;0.5576094388961792
marketing;Marketing Vs Business;zrz;Marketing services;Marketing Vs Business zrz;19;purchases of services;marketing / advertising services;services to promote products, brands or companies. this includes activities such as creating advertising campaigns, managing social networks, market research and marketing strategy. these services aim to increase visibility, attract customers and improve brand image with the target audience.;0.5576094388961792
external services;Various Third-Party Services;zpk loaded sculpture;Admin services;Various Third-Party Services zpk loaded sculpture;20;purchases of services;it maintenance and services;it maintenance, support and development. this covers the maintenance and repair of systems, the development of tailor-made it solutions, and the implementation and management of cloud solutions. these services are essential for ensuring operational continuity, developing appropriate technological solutions and maintaining secure, high-performance infrastructures.;0.4023594856262207
it expenses;Maintenance subscriptions EDP;zoom credit;IT maintenance;Maintenance subscriptions EDP zoom credit;21;purchases of services;it maintenance and services;it maintenance, support and development. this covers the maintenance and repair of systems, the development of tailor-made it solutions, and the implementation and management of cloud solutions. these services are essential for ensuring operational continuity, developing appropriate technological solutions and maintaining secure, high-performance infrastructures.;0.47130537033081055
it expenses;Maintenance subscriptions EDP;zoom;IT maintenance;Maintenance subscriptions EDP zoom;22;purchases of services;it maintenance and services;it maintenance, support and development. this covers the maintenance and repair of systems, the development of tailor-made it solutions, and the implementation and management of cloud solutions. these services are essential for ensuring operational continuity, developing appropriate technological solutions and maintaining secure, high-performance infrastructures.;0.4770541787147522
it expenses;Maintenance subscriptions EDP;zoom;IT maintenance;Maintenance subscriptions EDP zoom;23;purchases of services;it maintenance and services;it maintenance, support and development. this covers the maintenance and repair of systems, the development of tailor-made it solutions, and the implementation and management of cloud solutions. these services are essential for ensuring operational continuity, developing appropriate technological solutions and maintaining secure, high-performance infrastructures.;0.4770541787147522
it expenses;Maintenance computer (Software);zoom;IT maintenance;Maintenance computer (Software) zoom;24;purchase of goods;it and electronic equipment;various digital and electronic devices, such as computers, servers, smartphones and tablets, as well as peripherals such as printers, photocopiers and screens. it also covers audiovisual equipment such as televisions, sound bars, speakers and video projectors, as well as network devices such as modems, routers and firewalls. this equipment is essential for data processing, storage and communication, as well as for entertainment and connectivity.;0.3658517301082611
it expenses;Maintenance computer (Software);zoom;IT maintenance;Maintenance computer (Software) zoom;25;purchase of goods;it and electronic equipment;various digital and electronic devices, such as computers, servers, smartphones and tablets, as well as peripherals such as printers, photocopiers and screens. it also covers audiovisual equipment such as televisions, sound bars, speakers and video projectors, as well as network devices such as modems, routers and firewalls. this equipment is essential for data processing, storage and communication, as well as for entertainment and connectivity.;0.3658517301082611
it expenses;Maintenance subscriptions EDP;zoom;IT maintenance;Maintenance subscriptions EDP zoom;26;purchases of services;it maintenance and services;it maintenance, support and development. this covers the maintenance and repair of systems, the development of tailor-made it solutions, and the implementation and management of cloud solutions. these services are essential for ensuring operational continuity, developing appropriate technological solutions and maintaining secure, high-performance infrastructures.;0.4770541787147522
it expenses;Maintenance subscriptions EDP;zoom;IT maintenance;Maintenance subscriptions EDP zoom;27;purchases of services;it maintenance and services;it maintenance, support and development. this covers the maintenance and repair of systems, the development of tailor-made it solutions, and the implementation and management of cloud solutions. these services are essential for ensuring operational continuity, developing appropriate technological solutions and maintaining secure, high-performance infrastructures.;0.4770541787147522
