Cat1EN;Cat2EN;DescriptionCat2EN
purchases of services;equipment rental;rental of various types of equipment for temporary needs. this includes the provision of machinery, tools and specific equipment, such as site machinery, it equipment, lifting equipment and specialised work tools. these rentals give companies access to expensive equipment without having to buy it, while adapting to the duration and intensity of projects.
purchases of services;furniture rental;furniture hire for temporary needs, such as fitting out residential, business or event spaces. this includes items such as sofas, tables, chairs, beds and wardrobes. this solution is ideal for companies or individuals who want to furnish a space in a flexible way, without having to purchase furniture on a permanent basis.
purchases of services;vehicle rental;temporary provision of motorised vehicles, such as cars, vans, lorries or motorbikes. this allows us to meet specific mobility needs, whether for business trips, removals or one-off assignments.
purchases of services;building maintenance and services;maintenance and repair of buildings, excluding energy consumption and cleaning services. this includes activities such as the maintenance of electrical and plumbing systems, structural repairs, and the management of air conditioning and heating systems (excluding consumption). these services are designed to ensure the safety, functionality and sustainability of the buildings.
purchases of services;building maintenance and services;maintenance and repair of buildings, excluding energy consumption and cleaning services. this includes activities such as the maintenance of electrical and plumbing systems, structural repairs, and the management of air conditioning and heating systems (excluding consumption). these services are designed to ensure the safety, functionality and sustainability of the buildings.
purchases of services;vehicle maintenance and service;vehicle maintenance, repair and monitoring. this includes services such as regular servicing, mechanical repairs, tyre changes and maintenance of electrical systems. these activities are essential to guarantee the safety, performance and longevity of the vehicles, while excluding fuel consumption.
purchases of services;information and cultural services;access to cultural and economic resources. this includes newspaper subscriptions, access to events, content platforms, as well as paid professional information for businesses.
purchases of services;catering services;catering services, caterers, canteens, restaurant meals, as well as the provision of meals at events or on company premises. these services meet the catering needs of individuals and organisations, for one-off or regular occasions.
purchases of services;cleaning services;cleaning services for professional, industrial and residential spaces. this includes activities such as the cleaning of offices, factories and public buildings, as well as specialised cleaning for specific events or situations.
purchases of services;marketing / advertising services;services to promote products, brands or companies. this includes activities such as creating advertising campaigns, managing social networks, market research and marketing strategy. these services aim to increase visibility, attract customers and improve brand image with the target audience.
